name,type,length_km,duration_hour,difficulty,region,type_of_view,rating,elevation_gain
MacLehose Trail (Section 1) Pak Tam Chung to Long Ke,Long-distance Trail,10.6,3,Hard,Sai Kung,"beach, lake",4.5/5 (AllTrails),"1,250 ft"
MacLehose Trail (Section 2) Long Ke to Pak Tam Au,Long-distance Trail,13.5,5,Hard,Sai Kung,"beauty of the coast of Hong Kong, Sai Wan beach, azure sky and crystal-clear seawater, stargazing area, Tai Long Wan, Ham Tin Wan, Chek Keng, pier, shingle beaches and mangroves",4.7/5 (AllTrails),"2,168 ft"
MacLehose Trail (Section 3) Pak Tam Au to Kei Ling Ha,Long-distance Trail,10.2,4,Hard,Sai Kung,"forests, views",4.5/5 (AllTrails),"1,994 ft"
MacLehose Trail (Section 4) Kei Ling Ha to Tate's Cairn,Long-distance Trail,12.7,5,Hard,Sai Kung,"views, wildflowers",4.5/5 (AllTrails),"2,805 ft"
MacLehose Trail (Section 5) Tate's Cairn to Tai Po Road,Long-distance Trail,10.6,4.5,Hard,Central New Territories,forests and views,4.5/5 (AllTrails),"1,791 ft"
MacLehose Trail (Section 6) Tai Po Road to Shing Mun,Long-distance Trail,4.6,1.5,Moderate,Central New Territories,"Forests, Lakes",4.2/5 (AllTrails),679 ft
MacLehose Trail (Section 7) Shing Mun to Lead Mine Pass,Long-distance Trail,6.2,2.5,Hard,Central New Territories,"Lead Mine Pass, Grassy Hill, Needle Hill, and Shing Mun Reservoir",4.5/5 (AllTrails),"1,971ft"
MacLehose Trail (Section 8) Lead Mine Pass to Route Twisk,Long-distance Trail,9.7,4,Hard,Central New Territories,"Historical mine caves, Tai Mo Shan, tea cultivation fields, New Territories views, Tsing Ma Bridge views, Shenzhen views, forests, mist-enveloped scenery",4.6/5 (AllTrails),"2,047 ft"
MacLehose Trail (Section 9) Route Twisk to Tin Fu Tsai,Long-distance Trail,6.3,2.5,Moderate,West New Territories,"observation deck overlooking Tsuen Wan and Stonecutters Bridge, Ho Pui Irrigation Reservoir, forests, native Red Azalea, Skullcap, Snake Strawberries, Dichrocephala integrifolia",4.1/5 (AllTrails),439 ft
MacLehose Trail (Section 10) Tin Fu Tsai to Tuen Mun,Long-distance Trail,15.6,5,Hard,West New Territories,Thousand-Island Lake of Hong Kong,4.1/5 (AllTrails),"1,213 ft"
Hong Kong Trail (Section 1) The Peak to Pok Fu Lam Reservoir Road,Hong Kong Trail,7,2,Moderate,Hong Kong Island,"views, wildflowers",4.5/5 (AllTrails),515 ft
Hong Kong Trail (Section 2) Pok Fu Lam Reservoir Road to Peel Rise,Hong Kong Trail,4.5,1.5,Moderate,Hong Kong Island,"forests, streams, Aberdeen, Lamma Island",NaN,310 meters
Hong Kong Trail (Section 3) Peel Rise to Wan Chai Gap,Hong Kong Trail,6.5,1.75,Moderate,Hong Kong Island,"green zones, lush woodlands",4.4/5 (AllTrails),490 meters
Hong Kong Trail (Section 4) Wan Chai Gap to Wong Nai Chung Gap,Hong Kong Trail,7.5,2,Moderate,Hong Kong Island,forests,4.2/5 (AllTrails),"2,395 ft"
Hong Kong Trail (Section 5) Wong Nai Chung Gap to Mount Parker Road,Hong Kong Trail,4,1.5,Hard,Hong Kong Island,Views,4.4/5 (AllTrails),"1,204ft"
Hong Kong Trail (Section 7) Tai Tam Road to To Tei Wan,Hong Kong Trail,7.5,2,Moderate,Hong Kong Island,"trees, Tai Tam Bay, Red Hill Peninsula, Lan Nai Wan Village",NaN,NaN
Hong Kong Trail (Section 8) To Tei Wan to Tai Long Wan,Hong Kong Trail,8.5,2.75,Hard,Hong Kong Island,"Beaches, Forests",4.6/5 (AllTrails),741 ft
Lantau Trail (Section 1) Mui Wo to Nam Shan,Lantau Trail,2.5,0.75,Easy,Lantau,villages,3.6/5 (AllTrails),485 ft
Lantau Trail (Section 3) Pak Kung Au to Ngong Ping,Lantau Trail,4.5,2.25,Hard,Lantau,azure sky and verdant woodlands,4.6/5 (AllTrails),"1,833 ft"
Lantau Trail (Section 5) Sham Wat Road to Man Cheung Po,Lantau Trail,7.5,2.75,Hard,Lantau,"woodland, grassland, waterfalls",4.3/5 (AllTrails),"1,414 ft"
Lantau Trail (Section 7) Tai O to Kau Ling Chung,Lantau Trail,10.5,3,Hard,Lantau,"shingle beach, mangrove forest, Pearl River Estuary view",4.5/5 (AllTrails),885 ft
Lantau Trail (Section 8) Kau Ling Chung to Shek Pik,Lantau Trail,5.5,1.5,Moderate,Lantau,"Forests, Lakes",4.2/5 (AllTrails),295 ft
Lantau Trail (Section 11) Tung Chung Road to Pui O,Lantau Trail,4.5,1.25,Moderate,Lantau,"Beach, Waterfall",4.0/5 (AllTrails),275 ft
Wilson Trail (Section 1) Stanley Gap Road to Wong Nai Chung Reservoir,Wilson Trail,4.8,3,Hard,Hong Kong Island,"St Stephen's Beach, Stanley Main Beach, D'Aguilar Peninsula, Lo Chau, Po Toi Island, Stanley Village, D'Aguilar Peninsula, ocean",4.6/5 (AllTrails),"1,893 ft"
Wilson Trail (Section 3) Lam Tin to Tseng Lan Shue,Wilson Trail,9.3,4,Hard,Sai Kung,"views, wildflowers",4.3/5 (AllTrails),"1,131 ft"
Wilson Trail (Section 4) Tseng Lan Shue to Sha Tin Pass,Wilson Trail,8,3,Hard,Central New Territories,"Woodland, Hong Kong cityscape, Kowloon East, Fei Ngo Shan, Cheung Shan, Pak Sha Wan, Lion Rock, Beacon Hill, Tung Shan, Tate's Cairn, and Temple Hill",4.3/5 (AllTrails),"1,833 ft"
Wilson Trail (Section 5) Sha Tin Pass to Tai Po Road,Wilson Trail,7.4,2.5,Moderate,Central New Territories,"views of Sha Tin, Tai Wai, Tolo Harbour, Ma On Shan, and diverse flora species",4.1/5 (AllTrails),~640 m/~790 m
Wilson Trail (Section 8) Yuen Tun Ha to Cloudy Hill,Wilson Trail,9,4,Hard,North New Territories,"cultural sites, reservoir view, forests, views",4.2/5 (AllTrails),"1,433 ft"
Wilson Trail (Section 9) Cloudy Hill to Pat Sin Leng,Wilson Trail,10.6,4.5,Hard,North New Territories,"Hok Tau Reservoir, Ping Fung Shan, Pat Sin Leng range of eight peaks, 360-degree views of the North East New Territories, Plover Cove Reservoir",4.6/5 (AllTrails),"2,286 ft"
Wilson Trail (Section 10) Pat Sin Leng to Nam Chung,Wilson Trail,6.8,2.5,Hard,North New Territories,"deserted ancient village, fish ponds, mudflats, and mangroves",3.8/5 (AllTrails),259ft
Shek Pik Country Trail,Country Trail,5.5,2,Hard,Lantau,"Reservoir, forest, Hong Kong Hawthorn, Rhododendron, Wild Cherry, Cochin-china Homalium, Tian Tan Buddha Statue",4.4/5 (AllTrails),426 ft
South Lantau Country Trail,Country Trail,10.3,3,Hard,Lantau,"Forests, views",4.5/5 (AllTrails),"1,571 ft"
Hong Pak Country Trail,Country Trail,3.6,1.75,Moderate,Hong Kong Island,"Green vistas of the surrounding mountain ranges, scenes of birds chirping and flowers blooming, interesting looking rocks, and a full view of the cityscape of Quarry Bay and its neighboring areas.",NaN,685 ft
Tai Tam Country Trail,Country Trail,2.6,1.5,Hard,Hong Kong Island,"Forests, views",4.0/5 (AllTrails),944 ft
Pottinger Peak Country Trail,Country Trail,1.9,1.5,Moderate,Hong Kong Island,"coastline and bays of Big Wave Bay and Shek O, scenic coastal beauty of Hong Kong Island",3.9/5 (AllTrails),505ft
Lung Mun Country Trail,Country Trail,5,2.5,Hard,West New Territories,"Hakka village, streams, urban views, mountains, bridges, straits",4.2/5 (AllTrails),767 ft
Keung Shan Country Trail,Country Trail,8.2,3,Hard,Lantau,"Forests, Views",4.4/5 (AllTrails),"1,233 ft"
Double Haven Country Trail,Country Trail,13.2,6,Hard,North New Territories,"Beaches, Forests",4.3/5 (AllTrails),551 ft
Tei Tong Tsai Country Trail,Country Trail,2,0.75,Easy,Lantau,"Forests, Views",4.5/5 (AllTrails),288 ft
Sheung Yiu Country Trail,Country Trail,3.3,1.25,Moderate,Sai Kung,"Beaches, Forests",3.9/5 (AllTrails),413 ft
Yuen Tun Country Trail,Country Trail,9,4,Hard,West New Territories,"Hakka village, views of Sham Tseng, Ma Wan, Tsing Ma Bridge, Tsing Yi, Tai Lam Chung Reservoir, Forests",4.4/5 (AllTrails),"1,381 ft"
Luk Wu Country Trail,Country Trail,5.3,3,Hard,Sai Kung,"High Island Reservoir views, Tai Long Wan views, Sheung Luk Stream, woods, scenes of Chek Keng Hau, Sham Wan Tsai, Wan Tsai Peninsula and Tap Mun, forests, views, waterfall, bell flowers",4.5/5 (AllTrails),797 ft
Cheung Sheung Country Trail,Country Trail,4.2,3,Hard,Sai Kung,"marshes, Shek Uk Shan views, Cheung Sheung Plateau, Three Fathoms Cove",NaN,NaN
Fu Tei Country Trail,Country Trail,4,2,Moderate,West New Territories,"Forests, Lakes",4.3/5 (AllTrails),990 ft
