name,type,length_km,duration_hour,difficulty,region,type_of_view,rating,elevation_gain,type_Country Trail,type_Family Walk,type_Geo Route,type_Hong Kong Trail,type_Lantau Trail,type_Long-distance Trail,type_Nature Trail,type_Recommended Route,type_Tree Walk,type_Wilson Trail,difficulty_encoded,region_Central New Territories,region_Hong Kong Island,region_Lantau,region_North New Territories,region_Sai Kung,region_West New Territories
MacLehose Trail (Section 1) Pak Tam Chung to Long Ke,Long-distance Trail,10.6,3.0,Hard,Sai Kung,"beach, lake",4.5,1250.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
MacLehose Trail (Section 2) Long Ke to Pak Tam Au,Long-distance Trail,13.5,5.0,Hard,Sai Kung,"beauty of the coast of Hong Kong, Sai Wan beach, azure sky and crystal-clear seawater, stargazing area, Tai Long Wan, Ham Tin Wan, Chek Keng, pier, shingle beaches and mangroves",4.7,2168.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
MacLehose Trail (Section 3) Pak Tam Au to Kei Ling Ha,Long-distance Trail,10.2,4.0,Hard,Sai Kung,"forests, views",4.5,1994.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
MacLehose Trail (Section 4) Kei Ling Ha to Tate's Cairn,Long-distance Trail,12.7,5.0,Hard,Sai Kung,"views, wildflowers",4.5,2805.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
MacLehose Trail (Section 5) Tate's Cairn to Tai Po Road,Long-distance Trail,10.6,4.5,Hard,Central New Territories,forests and views,4.5,1791.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
MacLehose Trail (Section 6) Tai Po Road to Shing Mun,Long-distance Trail,4.6,1.5,Moderate,Central New Territories,"Forests, Lakes",4.2,679.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MacLehose Trail (Section 7) Shing Mun to Lead Mine Pass,Long-distance Trail,6.2,2.5,Hard,Central New Territories,"Lead Mine Pass, Grassy Hill, Needle Hill, and Shing Mun Reservoir",4.5,1971.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
MacLehose Trail (Section 8) Lead Mine Pass to Route Twisk,Long-distance Trail,9.7,4.0,Hard,Central New Territories,"Historical mine caves, Tai Mo Shan, tea cultivation fields, New Territories views, Tsing Ma Bridge views, Shenzhen views, forests, mist-enveloped scenery",4.6,2047.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
MacLehose Trail (Section 9) Route Twisk to Tin Fu Tsai,Long-distance Trail,6.3,2.5,Moderate,West New Territories,"observation deck overlooking Tsuen Wan and Stonecutters Bridge, Ho Pui Irrigation Reservoir, forests, native Red Azalea, Skullcap, Snake Strawberries, Dichrocephala integrifolia",4.1,439.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MacLehose Trail (Section 10) Tin Fu Tsai to Tuen Mun,Long-distance Trail,15.6,5.0,Hard,West New Territories,Thousand-Island Lake of Hong Kong,4.1,1213.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
